date,daily_cases,recovery_daily
3/16/2020,553,
3/17/2020,120,
3/18/2020,117,
3/19/2020,110,
3/20/2020,130,
3/21/2020,153,
3/22/2020,123,
3/23/2020,212,
3/24/2020,106,
3/25/2020,172,
3/26/2020,235,
3/27/2020,116,
3/28/2020,173,
3/29/2020,150,
3/30/2020,156,
3/31/2020,140,
4/1/2020,142,
4/2/2020,208,
4/3/2020,217,
4/4/2020,150,
4/5/2020,179,
4/6/2020,131,
4/7/2020,170,
4/8/2020,156,
4/9/2020,109,
4/10/2020,118,
4/11/2020,184,
4/12/2020,153,
4/13/2020,134,
4/14/2020,170,
4/15/2020,85,
4/16/2020,110,
4/17/2020,69,
4/18/2020,54,
4/19/2020,84,
4/20/2020,36,
4/21/2020,57,
4/22/2020,50,
4/23/2020,71,
4/24/2020,88,
4/25/2020,51,
4/26/2020,38,
4/27/2020,40,
4/28/2020,31,
4/29/2020,94,
4/30/2020,57,
5/1/2020,69,
5/2/2020,105,
5/3/2020,122,
5/4/2020,55,
5/5/2020,30,
5/6/2020,45,
5/7/2020,39,
5/8/2020,68,
5/9/2020,54,
5/10/2020,67,
5/11/2020,70,
5/12/2020,16,
5/13/2020,35,
5/14/2020,40,
5/15/2020,36,
5/16/2020,19,
5/17/2020,22,
5/18/2020,47,
5/19/2020,36,
5/20/2020,32,
5/21/2020,50,
5/22/2020,78,
5/23/2020,48,
5/24/2020,60,
5/25/2020,172,
5/26/2020,187,
5/27/2020,15,
5/28/2020,10,
5/29/2020,103,
5/30/2020,30,
5/31/2020,57,
6/1/2020,38,
6/2/2020,20,
6/3/2020,93,
6/4/2020,277,
6/5/2020,19,
6/6/2020,37,
6/7/2020,19,
6/8/2020,7,
6/9/2020,7,
6/10/2020,2,
6/11/2020,31,
6/12/2020,33,
6/13/2020,43,
6/14/2020,8,
6/15/2020,41,
6/16/2020,11,
6/17/2020,10,
6/18/2020,14,
6/19/2020,6,
6/20/2020,21,
6/21/2020,16,
6/22/2020,15,
6/23/2020,3,
6/24/2020,6,
6/25/2020,4,
6/26/2020,6,
6/27/2020,10,
6/28/2020,9,
6/29/2020,3,
6/30/2020,2,
7/1/2020,1,
7/2/2020,3,
7/3/2020,5,
7/4/2020,19,
7/5/2020,5,
7/6/2020,5,
7/7/2020,6,
7/8/2020,3,
7/9/2020,12,
7/10/2020,8,
7/11/2020,9,
7/12/2020,12,
7/13/2020,7,
7/14/2020,4,
7/15/2020,5,
7/16/2020,3,
7/17/2020,17,
7/18/2020,9,
7/19/2020,16,
7/20/2020,21,
7/21/2020,15,
7/22/2020,16,
7/23/2020,9,
7/24/2020,4,
7/25/2020,40,
7/26/2020,13,
7/27/2020,7,
7/28/2020,39,
7/29/2020,12,
7/30/2020,9,
7/31/2020,12,
8/1/2020,9,
8/2/2020,14,
8/3/2020,2,
8/4/2020,1,
8/5/2020,21,
8/6/2020,15,
8/7/2020,25,
8/8/2020,7,
8/9/2020,13,
8/10/2020,11,
8/11/2020,9,
8/12/2020,12,
8/13/2020,15,
8/14/2020,19,
8/15/2020,26,
8/16/2020,25,
8/17/2020,15,
8/18/2020,4,
8/19/2020,16,
8/20/2020,5,
8/21/2020,7,
8/22/2020,10,
8/23/2020,8,
8/24/2020,7,
8/25/2020,13,
8/26/2020,6,
8/27/2020,5,
8/28/2020,10,
8/29/2020,11,
8/30/2020,17,
8/31/2020,6,
9/1/2020,14,
9/2/2020,6,
9/3/2020,14,
9/4/2020,11,
9/5/2020,6,
9/6/2020,6,
9/7/2020,62,
9/8/2020,100,
9/9/2020,24,
9/10/2020,45,
9/11/2020,182,
9/12/2020,58,
9/13/2020,47,
9/14/2020,31,
9/15/2020,23,
9/16/2020,62,
9/17/2020,21,
9/18/2020,95,
9/19/2020,20,
9/20/2020,52,
9/21/2020,57,
9/22/2020,82,
9/23/2020,147,
9/24/2020,71,
9/25/2020,111,
9/26/2020,82,
9/27/2020,150,
9/28/2020,115,
9/29/2020,101,
9/30/2020,89,
10/1/2020,220,
10/2/2020,327,
10/3/2020,317,
10/4/2020,293,
10/5/2020,432,
10/6/2020,691,
10/7/2020,489,
10/8/2020,375,
10/9/2020,354,
10/10/2020,374,
10/11/2020,561,
10/12/2020,563,
10/13/2020,660,
10/14/2020,660,
10/15/2020,589,
10/16/2020,629,
10/17/2020,869,
10/18/2020,871,
10/19/2020,865,
10/20/2020,862,
10/21/2020,732,
10/22/2020,847,
10/23/2020,710,
10/24/2020,1228,
10/25/2020,823,
10/26/2020,1240,
10/27/2020,835,
10/28/2020,801,
10/29/2020,649,
10/30/2020,799,
10/31/2020,659,
11/1/2020,957,
11/2/2020,834,
11/3/2020,1054,
11/4/2020,1032,
11/5/2020,1009,
11/6/2020,1755,
11/7/2020,1168,
11/8/2020,852,
11/9/2020,972,
11/10/2020,869,
11/11/2020,822,
11/12/2020,919,
11/13/2020,1304,
11/14/2020,1114,
11/15/2020,1208,
11/16/2020,1103,
11/17/2020,1210,
11/18/2020,660,
11/19/2020,1290,
11/20/2020,958,
11/21/2020,1041,
11/22/2020,1096,
11/23/2020,1884,
11/24/2020,2188,
11/25/2020,970,
11/26/2020,935,
11/27/2020,1109,
11/28/2020,1315,
11/29/2020,1309,
11/30/2020,1212,
12/1/2020,1472,
12/2/2020,851,
12/3/2020,1075,
12/4/2020,1141,
12/5/2020,1123,
12/6/2020,1335,
12/7/2020,1600,
12/8/2020,1012,
12/9/2020,959,
12/10/2020,2234,
12/11/2020,1810,
12/12/2020,1937,
12/13/2020,1229,
12/14/2020,1371,
12/15/2020,1772,
12/16/2020,1295,
12/17/2020,1220,
12/18/2020,1683,
12/19/2020,1153,
12/20/2020,1340,
12/21/2020,2018,
12/22/2020,2062,
12/23/2020,1348,
12/24/2020,1581,
12/25/2020,1247,
12/26/2020,2335,
12/27/2020,1196,
12/28/2020,1596,
12/29/2020,1923,
12/30/2020,1870,
12/31/2020,2525,
1/1/2021,2068,
1/2/2021,2295,
1/3/2021,1704,
1/4/2021,1741,
1/5/2021,2027,
1/6/2021,2593,
1/7/2021,3410,
1/8/2021,2260,
1/9/2021,2451,
1/10/2021,2433,
1/11/2021,2232,
1/12/2021,3309,
1/13/2021,2985,
1/14/2021,3337,
1/15/2021,3211,
1/16/2021,4029,
1/17/2021,3339,
1/18/2021,3306,
1/19/2021,3631,
1/20/2021,4008,
1/21/2021,3170,
1/22/2021,3631,
1/23/2021,4275,
1/24/2021,3346,
1/25/2021,3048,
1/26/2021,3585,
1/27/2021,3680,
1/28/2021,4094,
1/29/2021,5725,
1/30/2021,5728,
1/31/2021,5298,
2/1/2021,4214,
2/2/2021,3455,
2/3/2021,4284,
2/4/2021,4571,
2/5/2021,3391,
2/6/2021,3847,
2/7/2021,3731,
2/8/2021,3100,
2/9/2021,2764,
2/10/2021,3288,
2/11/2021,3384,
2/12/2021,3318,
2/13/2021,3499,
2/14/2021,2464,
2/15/2021,2176,
2/16/2021,2720,
2/17/2021,2998,
2/18/2021,2712,
2/19/2021,2936,
2/20/2021,2461,
2/21/2021,3297,
2/22/2021,2192,
2/23/2021,2468,
2/24/2021,3545,
2/25/2021,1924,
2/26/2021,2253,
2/27/2021,2364,
2/28/2021,2437,
3/1/2021,1828,
3/2/2021,1555,
3/3/2021,1745,
3/4/2021,2063,
3/5/2021,2154,
3/6/2021,1680,
3/7/2021,1683,
3/8/2021,1529,
3/9/2021,1280,
3/10/2021,1448,
3/11/2021,1647,
3/12/2021,1575,
3/13/2021,1470,
3/14/2021,1354,
3/15/2021,1208,
3/16/2021,1063,
3/17/2021,1219,
3/18/2021,1213,
3/19/2021,1576,
3/20/2021,1671,
3/21/2021,1327,
3/22/2021,1116,
3/23/2021,1384,
3/24/2021,1268,
3/25/2021,1360,
3/26/2021,1275,
3/27/2021,1199,
3/28/2021,1302,
3/29/2021,941,
3/30/2021,1133,
3/31/2021,1482,
4/1/2021,1178,
4/2/2021,1294,
4/3/2021,1638,
4/4/2021,1349,
4/5/2021,1070,
4/6/2021,1300,
4/7/2021,1139,
4/8/2021,1285,
4/9/2021,1854,
4/10/2021,1510,
4/11/2021,1739,
4/12/2021,1317,
4/13/2021,1767,
4/14/2021,1889,
4/15/2021,2148,
4/16/2021,2551,
4/17/2021,2331,
4/18/2021,2195,
4/19/2021,2078,
4/20/2021,2341,
4/21/2021,2340,
4/22/2021,2875,
4/23/2021,2847,
4/24/2021,2717,
4/25/2021,2690,
4/26/2021,2776,
4/27/2021,2733,
4/28/2021,3142,
4/29/2021,3332,
4/30/2021,3788,
5/1/2021,2881,
5/2/2021,3418,
5/3/2021,2500,
5/4/2021,3120,
5/5/2021,3744,
5/6/2021,3551,
5/7/2021,4498,
5/8/2021,4519,
5/9/2021,3733,
5/10/2021,3807,
5/11/2021,3973,
5/12/2021,4765,
5/13/2021,4855,
5/14/2021,4113,
5/15/2021,4140,
5/16/2021,3780,
5/17/2021,4446,
5/18/2021,4865,
5/19/2021,6075,
5/20/2021,6806,
5/21/2021,6493,
5/22/2021,6320,
5/23/2021,6976,
5/24/2021,6509,
5/25/2021,7289,
5/26/2021,7478,
5/27/2021,7857,
5/28/2021,8290,
5/29/2021,9020,
5/30/2021,6999,
5/31/2021,6824,
6/1/2021,7105,
6/2/2021,7703,
6/3/2021,8209,
6/4/2021,7748,
6/5/2021,7452,
6/6/2021,6241,
6/7/2021,5271,
6/8/2021,5566,
6/9/2021,6239,
6/10/2021,5671,
6/11/2021,6849,
6/12/2021,5793,
6/13/2021,5331,
6/14/2021,4922,
6/15/2021,5419,
6/16/2021,5150,
6/17/2021,5738,
6/18/2021,6440,
6/19/2021,5911,
6/20/2021,5293,
6/21/2021,4611,
6/22/2021,4743,
6/23/2021,5244,
6/24/2021,5841,
6/25/2021,5812,
6/26/2021,5803,
6/27/2021,5586,
6/28/2021,5218,
6/29/2021,6437,
6/30/2021,6276,
7/1/2021,6988,
7/2/2021,6982,
7/3/2021,6658,
7/4/2021,6045,
7/5/2021,6387,
7/6/2021,7654,
7/7/2021,7097,
7/8/2021,8868,
7/9/2021,9180,
7/10/2021,9353,
7/11/2021,9105,
7/12/2021,8574,
7/13/2021,11079,
7/14/2021,11618,
7/15/2021,13215,
7/16/2021,12541,
7/17/2021,12528,
7/18/2021,10710,
7/19/2021,10972,
7/20/2021,12366,
7/21/2021,11985,
7/22/2021,13034,
7/23/2021,15573,
